"","Category","Name","Swiss population, n (%)","Study participants, n (%)","B1","B2","B3","B4","B5","B6"
"1","Gender","Female","4,302,599 (49.6%)","3,297 (48.8%)","497 (49.9%)","761 (48.8%)","645 (48.7%)","556 (49.6%)","452 (47.4%)","386 (47.9%)"
"2"," ","Male","4302599","3,436 (50.8%)","495 (49.7%)","792 (50.8%)","673 (50.8%)","560 (50%)","498 (52.3%)","418 (51.9%)"
"3"," ","Other"," ","   25 (0.4%)","4 (0.4%)","6 (0.4%)","6 (0.5%)","4 (0.4%)","3 (0.3%)","2 (0.2%)"
"4","Age group","[18,30)","1,170,597 (16.3%)","1,044 (15.4%)","177 (17.8%)","275 (17.6%)","207 (15.6%)","154 (13.8%)","138 (14.5%)","93 (11.5%)"
"5"," ","[30,40)","1,239,355 (17.2%)","1,241 (18.4%)","180 (18.1%)","304 (19.5%)","249 (18.8%)","202 (18%)","150 (15.7%)","156 (19.4%)"
"6"," ","[40,50)","1,200,424 (16.7%)","1,100 (16.3%)","159 (16%)","247 (15.8%)","219 (16.5%)","170 (15.2%)","160 (16.8%)","145 (18%)"
"7"," ","[50,60)","1,304,794 (18.1%)","1,407 (20.8%)","188 (18.9%)","309 (19.8%)","273 (20.6%)","245 (21.9%)","194 (20.4%)","198 (24.6%)"
"8"," ","[60,70)","1,005,687 (14%)","1,159 (17.2%)","170 (17.1%)","251 (16.1%)","222 (16.8%)","202 (18%)","179 (18.8%)","135 (16.7%)"
"9"," ","70+","1,276,149 (17.7%)","  807 (11.9%)","122 (12.2%)","173 (11.1%)","154 (11.6%)","147 (13.1%)","132 (13.9%)","79 (9.8%)"
"10","Household income","0-5,000","49.4%","2,150 (31.8%)","328 (32.9%)","493 (31.6%)","425 (32.1%)","359 (32.1%)","309 (32.4%)","236 (29.3%)"
"11"," ","5,001-10,000","42.2%","2,733 (40.4%)","396 (39.8%)","634 (40.7%)","533 (40.3%)","445 (39.7%)","384 (40.3%)","341 (42.3%)"
"12"," ","10,000+","7.6%","  861 (12.7%)","124 (12.4%)","203 (13%)","171 (12.9%)","139 (12.4%)","122 (12.8%)","102 (12.7%)"
"13"," ","Preferred not to answer"," ","1,014 (15%)","148 (14.9%)","229 (14.7%)","195 (14.7%)","177 (15.8%)","138 (14.5%)","127 (15.8%)"
"14","Residence","Espace Mittelland","1,895,693 (21.9%)","1,489 (22%)","216 (21.7%)","344 (22.1%)","286 (21.6%)","241 (21.5%)","226 (23.7%)","176 (21.8%)"
"15"," ","Zurich","1,553,423 (17.9%)","1,287 (19%)","188 (18.9%)","291 (18.7%)","244 (18.4%)","209 (18.7%)","190 (19.9%)","165 (20.5%)"
"16"," ","Lake Geneva region","1,669,608 (19.3%)","1,126 (16.7%)","168 (16.9%)","273 (17.5%)","225 (17%)","191 (17.1%)","165 (17.3%)","104 (12.9%)"
"17"," ","Eastern Switzerland","1,193,069 (13.8%)","  963 (14.2%)","141 (14.2%)","219 (14%)","192 (14.5%)","161 (14.4%)","138 (14.5%)","112 (13.9%)"
"18"," ","Northwestern Switzerland","1,181,776 (13.6%)","  949 (14%)","143 (14.4%)","219 (14%)","186 (14%)","155 (13.8%)","132 (13.9%)","114 (14.1%)"
"19"," ","Central Switzerland","  825,745 (9.5%)","  678 (10%)","96 (9.6%)","148 (9.5%)","137 (10.3%)","108 (9.6%)","97 (10.2%)","92 (11.4%)"
"20"," ","Ticino","  350,986 (4%)","  266 (3.9%)","44 (4.4%)","65 (4.2%)","54 (4.1%)","55 (4.9%)","5 (0.5%)","43 (5.3%)"
