"","Name","Factor","N answers","Unadjusted HR","Adjusted weighted HR"
"6","Age groups, years 
Reference: 18-29","30-39","336","1.31 (1.07-1.61)"," "
"7"," ","40-49","282","1.31 (1.06-1.62)"," "
"8"," ","50-59","334","1.89 (1.55-2.31)"," "
"9"," ","60-69","266","2.98 (2.42-3.66)"," "
"10"," ","70+","186","4.78 (3.83-5.97)"," "
"11","Gender
Reference: Female","Male","869","1.05 (0.93-1.17)","0.95 (0.84-1.07)"
"12"," ","Others","7","2.29 (0.95-5.53)","2.23 (0.90-5.56)"
"13","Region
Reference: Urban","Rural","430","0.89 (0.78-1.03)","0.98 (0.85-1.15)"
"14","Swiss regions of residence
Reference: Espace Mittelland","Zurich","323","1.12 (0.93-1.34)","0.98 (0.82-1.18)"
"15"," ","Lake Geneva region","316","1.12 (0.93-1.35)","1.09 (0.90-1.32)"
"16"," ","Eastern Switzerland","247","1.10 (0.90-1.34)","1.05 (0.86-1.27)"
"17"," ","Northwestern Switzerland","231","1.08 (0.87-1.33)","1.13 (0.91-1.39)"
"18"," ","Central Switzerland","161","0.87 (0.69-1.09)","0.95 (0.76-1.20)"
"19"," ","Ticino","77","1.01 (0.74-1.36)","1.24 (0.83-1.85)"
"20","Country of birth
Reference: Switzerland","EU","237","0.99 (0.84-1.17)","0.95 (0.80-1.12)"
"21"," ","Non-EU","150","0.95 (0.77-1.17)","0.93 (0.76-1.14)"
"22"," ","Unknown","117","1.10 (0.87-1.40)","1.08 (0.82-1.41)"
"23","Education level
Reference: Lowest level","Middle level of education","584","1.01 (0.88-1.16)","1.17 (1.01-1.35)"
"24"," ","Highest level of education","397","1.02 (0.89-1.19)","1.26 (1.08-1.47)"
"25","Employment status
Reference: Employed","Unemployed","104","1.01 (0.77-1.31)","1.03 (0.76-1.39)"
"26"," ","Student","97","0.71 (0.55-0.92)","0.95 (0.70-1.27)"
"27","","Homemaker","68","0.99 (0.70-1.40)","1.00 (0.72-1.38)"
"28"," ","Retired","348","2.47 (2.15-2.85)","1.24 (0.98-1.57)"
"29"," ","Other unemployed situation","41","1.83 (1.21-2.78)","1.56 (1.06-2.29)"
"30","Household income, net
Reference: 0-5,000 CHF","5,001-10,000 CHF","704","0.95 (0.83-1.10)","1.36 (1.16-1.60)"
"31"," ","10,000+ CHF","231","0.90 (0.75-1.08)","1.26 (1.01-1.56)"
"32"," ","Preferred not to answer","238","0.91 (0.75-1.11)","1.02 (0.84-1.24)"
"33","Household size ","Mean (range)","2 (1 - 9)","0.85 (0.81-0.90)","0.88 (0.82-0.94)"
"34","Household with medically vulnerability 
Reference: No person in a risk group","One or more person in a risk group","529","1.46 (1.29-1.65)","1.50 (1.31-1.72)"
"35","Testing for SARS-CoV-2
Reference: Tested positive","Tested","316","0.81 (0.40-1.63)","0.75 (0.33-1.73)"
"36"," ","Never tested","1376","1.37 (0.68-2.75)","1.06 (0.46-2.41)"
"37"," ","Preferred not to answer","25","0.56 (0.21-1.49)","0.56 (0.19-1.64)"
"38","Number of contacts per day
Reference: 0-2","3-5","462","1.01 (0.87-1.17)","1.17 (1.01-1.37)"
"39"," ","6+","692","0.87 (0.76-0.99)","1.11 (0.94-1.30)"
"40","Attitudes towards COVID-19 measures 
Reference: About right","Too lenient","368","0.94 (0.82-1.08)","0.84 (0.73-0.96)"
"41","   ","Too strict","420","0.74 (0.62-0.87)","0.82 (0.69-0.97)"
"42"," ","Don't know","46","0.39 (0.24-0.62)","0.72 (0.36-1.44)"
